index,count,mean,std,min,25%,50%,75%,max,missing_values,location
precipitation,5273.0,4.088659207282382,9.854231409557132,0.0,0.0,0.6,3.7,190.3,0,20
temperature,5273.0,23.36373980656173,1.764272336160395,17.5,22.0,23.3,24.8,27.9,0,21
rainfall,5273.0,5.643258107339276,11.032872344029808,0.0,0.2,1.9,6.6,229.6,0,21
wind_speed,5273.0,10.329660534799924,3.6395552089764553,3.6,7.5,9.7,12.5,26.2,0,21
precipitation,5273.0,5.643258107339276,11.032872344029808,0.0,0.2,1.9,6.6,229.6,0,21
temperature,5273.0,26.357595296794994,1.8007605830900044,21.0,24.9,26.3,27.8,31.3,0,22
rainfall,5273.0,4.99817940451356,9.715223791352562,0.0,0.1,1.4,5.8,163.7,0,22
wind_speed,5273.0,12.87773563436374,4.7150242977237,3.8,9.4,12.1,15.6,32.3,0,22
precipitation,5273.0,4.99817940451356,9.715223791352562,0.0,0.1,1.4,5.8,163.7,0,22
temperature,5273.0,25.337454959226246,0.9405661942938465,19.8,24.7,25.3,25.9,28.8,0,23
rainfall,5273.0,10.721600606865163,13.721032043949062,0.0,2.0,6.7,14.4,177.4,0,23
wind_speed,5273.0,11.472842783993931,4.11375591001125,3.4,8.2,10.8,14.3,28.5,0,23
precipitation,5273.0,10.721600606865163,13.721032043949062,0.0,2.0,6.7,14.4,177.4,0,23
temperature,5273.0,25.31175801251659,1.264973369601593,19.4,24.5,25.2,26.0,30.1,0,24
rainfall,5273.0,6.893893419305898,11.473468465805407,0.0,0.6,3.1,8.8,259.5,0,24
wind_speed,5273.0,13.96053479992414,4.077997545115888,3.4,10.8,14.5,16.9,31.2,0,24
precipitation,5273.0,6.893893419305898,11.473468465805407,0.0,0.6,3.1,8.8,259.5,0,24
temperature,5273.0,21.189190214299263,1.5856684493853528,15.6,20.0,21.2,22.4,25.1,0,25
rainfall,5273.0,6.2045325241797835,10.329814915564015,0.0,0.5,2.5,8.0,160.4,0,25
wind_speed,5273.0,10.943428788166129,4.358970631179824,2.3,7.6,10.2,14.0,38.2,0,25
precipitation,5273.0,6.2045325241797835,10.329814915564015,0.0,0.5,2.5,8.0,160.4,0,25
temperature,5273.0,20.52928124407358,1.3809111438602046,15.6,19.5,20.5,21.6,24.2,0,26
rainfall,5273.0,6.346178645932107,10.368795341054836,0.0,0.5,2.6,8.2,160.4,0,26
wind_speed,5273.0,10.28913332069031,4.204302824713745,2.3,7.2,9.3,13.1,32.1,0,26
precipitation,5273.0,6.346178645932107,10.368795341054836,0.0,0.5,2.6,8.2,160.4,0,26
